status,product_area,response,justification,request_type
escalated,claude,This issue is related to claude. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in claude. Top document was 'Where can I access Claude?' with score 0.141. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
escalated,assessments,This issue is related to assessments. It should be escalated to a human support specialist because the ticket is sensitive or account specific and should be reviewed by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in assessments. Top document was 'What happens to Candidate statuses if the cutoff score is altered?' with score 0.092. Decision was escalated because The ticket is sensitive or account specific and should be reviewed by human support.,product_issue
escalated,merchant_support,This issue is related to merchant support. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in merchant support. Top document was 'Merchant' with score 0.287. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
escalated,billing,"This issue is related to billing. It should be escalated to a human support specialist because the ticket combines a product failure with a payment or refund request, so it needs human support review. I cannot safely resolve it from the provided support corpus alone.","Classified as bug in billing. Top document was 'Introduction to Mock Interview Types of mock interviews Accessing mock interview' with score 0.282. Decision was escalated because The ticket combines a product failure with a payment or refund request, so it needs human support review.",bug
escalated,billing,This issue is related to billing. It should be escalated to a human support specialist because the retrieved support evidence is too weak to answer safely from the corpus. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in billing. Top document was 'Troubleshooting Login Issues Issue 1: Invalid credentials Issue 2: Wrong login page Issue 3: Password or cache' with score 0.067. Decision was escalated because The retrieved support evidence is too weak to answer safely from the corpus.,product_issue
escalated,security_compliance,This issue is related to security compliance. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in security compliance. Top document was 'Using HackerRank Interviews in InterviewPlanner' with score 0.124. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
escalated,additional_resources,This issue is related to additional resources. It should be escalated to a human support specialist because the ticket appears to be a bug and does not have enough clear corpus support for a direct answer. I cannot safely resolve it from the provided support corpus alone.,Classified as bug in additional resources. Top document was 'Search and Apply for Jobs' with score 0.112. Decision was escalated because The ticket appears to be a bug and does not have enough clear corpus support for a direct answer.,bug
escalated,platform_availability,This issue is related to platform availability. It should be escalated to a human support specialist because the ticket reports a broad platform availability issue that needs human review. I cannot safely resolve it from the provided support corpus alone.,Classified as bug in platform availability. Top document was 'Coding Challenges FAQs' with score 0.109. Decision was escalated because The ticket reports a broad platform availability issue that needs human review.,bug
escalated,assessments,This issue is related to assessments. It should be escalated to a human support specialist because the ticket appears to be a bug and does not have enough clear corpus support for a direct answer. I cannot safely resolve it from the provided support corpus alone.,Classified as bug in assessments. Top document was 'Changing the Account Email' with score 0.072. Decision was escalated because The ticket appears to be a bug and does not have enough clear corpus support for a direct answer.,bug
escalated,assessments,This issue is related to assessments. It should be escalated to a human support specialist because the ticket asks for an account or business specific action that should be handled by human support. I cannot safely resolve it from the provided support corpus alone.,Classified as product_issue in assessments. Top document was 'Greenhouse - HackerRank Integration Test User Guide Prerequisites Adding HackerRank assessment stage in Greenhouse Sending HackerRank test invite to a candidate Sending bulk HackerRank test invites to candidates Viewing candidate test results Viewing updated scores in Greenhouse' with score 0.081. Decision was escalated because The ticket asks for an account or business specific action that should be handled by human support.,product_issue
